9x20	426	1:2:3:3:1,1:1,1:1,1:2:3:2,1:2,3:2,2,2:2,2,2:2,1,2:2,1,2:2,1,2:5:1:1:2-5:7:2,2:1,2,1,1:20:3,1,1,1:5,2,2:5:3
20x20	610	3:3,2,2:2,2,2:2,2,2:2,2,2,2:2,2,2,2,2:2,2,2,2,2:2,2,1,2:2,2,2,2,2:1,2,2,1,1:4,1,4:1,4,4,1:1,4,1:1,4,1:1,2,2,1:1,2,2,1:1,2,2,1:1,2,2,1:3,3:16-12:2,1,2:2,1,3:2,3,2,1:2,2,1,2,1:2,2,1,2,1:2,2,4,1:2,2,2,2,1:1,2,2,2,1:1,2,1,4,1:2,2,1,2,1:2,2,2,1,2,1:2,2,1,2,2,1:1,1,1,1,3:2,2,1,2:2,1,12:2,2:2,2:3:1
20x20	Cat with flower	2,3:1,1,2,1:2,2,4,1:1,2,1,1:1,1,1,3,2,2,1:2,1,1,3,2:3,1,1,1,1,2:1,2,4,1,1,1:3,2,1,1,1:1,12,1,1:2,1,2,1,2,1,1:5,2,1,1,1:1,6,1,1,1:2,1,3,1:4,2,5,3,2:1,3,1,3,1,2:1,2,1,1,4:2,1,4,3:2,3,1,2:3,3-2,4:2,2,3,1,2:1,1,3,3,1,2:1,2,2,1,3,1:2,1,1,5:3,1,1,2,1:3,5,2,2:3,1,2,2,1:1,2,1,2,1,4:2,3,2,1,1,3:1,2,1,1,1,1,1:1,1,1,7,2:2,1,1,2,5:2,1,2,1,1:1,5,2,1,2:3,1,7:1,2,2,1:1,5,2:2,2:7
20x20	728	2:3:4:2,2:2,2:2,2:2,6:4,5:1,2,2:1,2,2:1,2,2:1,4:1,3:3,2:5:7:9:11:13:15-1:2:3:4:5:6:7:13:1,7:4,6:6,5:2,2,4:2,2,3:2,2,2:14,1:14:2:2:2:1
20x20	824	5:3,2:6,3:8,2:4,2,2:3,1,4:4,4:11:11:2,8,1:2,4,2:3,1,1,4:2,4,5:2,12:3,5,2:4,3,1:4,1,2:4,1:4,2:3,2-3:4,5:14:5,8:7,3:7,3:2,3,5:2,1,4,4:2,4,4:3,5,2:10,2:2,5,2:2,3,4:1,2,7:1,2,5,4:1,2,3,2:1,1,1:3:2:1
20x20	1020	2:2:4:6:6:3,6,3:5,6,5:7,12:7,4,7:2,12,2:2,3,2,3,2:1,3,3,1:1,12,1:12:1,6,1:2,2,2:1,3,2,3,1:2,3,4,3,2:18:4,4,4-6:5,3:4,3:4,2:5,2,3:5,3,4:7,4:4,8,1:8,4,3:11,8:11,8:8,4,3:5,8,1:7,4:5,3,4:5,2,3:4,2:4,3:5,3:6
20x20	1030	11:1,10:1,6,2:1,6,2:1,6,2:1,6,2:1,6,2:10,2:2,10:2,10:1,11:2,12:2,5,4,1:2,3,3,1:2,1,1,1,1,1:2,2,3,1:2,1,5,2:2,8:3,3,5,3:5,6,5-2:2:4,2:8,1:1,2,3,1:2,2,1,2:1,6,3,1,1:2,1,5,2,2:15,1,1:14,2,1:13,5:12,6:13,5:14,3:2,8,2:1,6,2,1:2,5,2,1:7,4,2:4,2:2
20x20	1032	1:1,1:4,3:1,4,2:7,2:7,1:6,1:5,1:10,1:13,2:5,11,2:15:6,9:7,7:9:3,6,2:5,7,2:5,3,2:5,4,2:3,5,2-1,1:1,1,3:1,2,5:2,2,2,5:4,2,2,5:1,3,2,3,3:13:11:12,2:9,4,1:10,1:9,2:9,2:12:7,3:1,6,2,1:1,3,2,2:2,2,4:2,4,2:8
20x20	Chicken	1,2,1,4:2,2,1,2,1,3:6,4,1,1,1:5,1,2,2,1,1:2,3,1,1,1:2,1,1,2,1,1,1:2,1,1,1,1,1,1:4,2,4,1,1:4,1,4,3,1,1:3,1,2,2,1:1,1,2,1,2,2:5,2,2,3:4,1,3,3:3,1,1,2,2:3,1,1,5:2,1,2,2,1:5,1,3,1:1,5,2:3,1,1,3:5,3,3,1-3,1,2,2:11,2:3,1,3,2,2:3,3,3,1:4,1,1,3,1:2,2,1,5,2:2,2,2,1,1:1,1,3,3:2,1,1,2:1,2,1,1,1,1,2,1:4,2,2,1,1,1,1:2,1,2,1,4:1,3,1,1,1:3,2,7:4,1,1,2,2,1:1,2,4,1,3,1:1,2,1,1,5,2:2,1,1,4,2:1,1,1,2,2:3,2,3,3,1
20x20	1190	2,1,3:2,1,1,3:3,5,1,1,2:1,4,4:2,2,2,3,1,1:3,1:1,1,1,1,2:2,1,1,2,1,1:1,2,3,1,2:2,1,2,2,1,1:5,3,1,1:1,4,1,2,2:2,3,5:3,1,10:6,1,2,5:2,5,4,2:1,10,1:1,2,4,2,1:4,1,2,1,4:5,5-3,3:1,2,1,1:1,1,3,2,1:5,2,1,3:3,1,6,1:2,7,1:4,1,2,4,2:2,1,2,4,1:1,2,1,1,4:1,1,1,2,1,1,3:1,1,2,1,3,1:4,5,5,2:2,9,1:1,2,2,3,1:4,2,3:1,1,6,1:4,5,1:2,1,1,3,3:3,2,4:3,1,6
20x20	1308	6:3,2,4:1,1,5,6:1,1,10:2,2,2,3:1,1,2:1,2,3,1,1:1,1,1,1,6:1,6,4:2,5,2:6,1,1,1,1:2,1,1,1:3,2,1,1,1:5,1,2,4:1,4,5:1,4,1,5:2,3,1,5:2,4,1:3,2,6:2,9-6,1,1:3,2,1,2:1,1,2,2,1:1,2,6,4:1,1,7,1,1:1,2,3,2:2,2,3,2:3,1,2,1:2,3,2,2,1:2,1,1,2,1,1,1:2,2,1,1,2,1:3,1,2,3:2,1,3,1,2,1:1,3,1,1,3,1:1,6,1,1,3,1:5,1,4,1:3,2,1,2,1:3,5,2,2:2,1,3,1:4,3
20x20	1362	1:1:3,3:4,5:4,5:4,5:3,5:3:9:11,1:12,1:11,1:12,1:11,1:9:7:20:18:16:14-1:2:3:2,4:3,4:4,5,4:4,7,4:16:15:13:4,12:5,12:7,12:5,12:4,7,4:5,4:1,1,4:1,1,3:3,2:1
20x20	1426	15:6,3:6,3:6,3:6,2:6,3,3:6,5,4:6,3,2,2,1:5,3,4,3:5,5,2,1,1:5,8,2:4,6,3,1:2,1,4,1,3,1:2,3,1:4,2,1,1:5,1,1,1,1:7,1,1,1,1:9,1,1,1:10,6:18-10,4:12,5:12,6:12,7:11,8:8,6:2,3,4:1,5,3:1,7,6:1,3,4,1,2:1,2,5,1:1,2,1,3,1:1,6,1:1,4,1,4:1,1,1,1,2:1,4,2:2,4,3,1,2:4,4,1,1,4:6,4,1:6,6
20x20	1512	8:7,2:8,4:7,6:6,6:5,3:5:5,1,1:1,2,2,2:4,9:4,11:2,4,4:4,1,1,1,4:3,1,1,3:4,1,3,4:4,1,4:1,2,1,1,4:1,3,1,1,1,5:2,3,6:17-2,1:2,3:3,3,6:7,4,2:6,7,1:4,10:3,6,3:3,4,2,1,2:3,2,1,1,1:3,2,1,1:3,2,1,1,1,1:4,2,1,1:3,2,1,1,1:3,4,1,2,2:5,6,3:2,2,10:1,4,9:1,4,8:6,6:4
20x20	1576	4:4:4,4:5,4:5,4:5,4:7,4:9,4:3,4,4:1,4,4:4,4:9:2,7:4,6:15:5,11:6,6,4:5,3:4,2:3,1-3:4:1,5:3,5:5,5:5,5:5,5:6,2:7,2:3,4,3:1,2,4,3:1,4,3:2,4,3:3,7:3,6:5,5:15:15:10,4:6,4
20x20	1626	2,1,1:3,2,2,2,1:2,2,3,1,2,3:1,1,1,7,1:2,2,6,5:3,1,1,1,2:3,2,3,1:1,1,1,2:6,2,1,2:3,1,2:5,1,1,4:3,2,4,1:3,1,5,3:1,1,1,1,2,2:1,7,2,1:1,4,2,2,2:5,1,2:2,1,1,2:2,2,1,4:1,1,2,1,1,1-4,1,2,2:2,3,1,2,4:1,1,4,4,2:2,1,1,1,2,2:4,1,1,5:1,1,1,4,2:2,1,2:2,2,2,1:1,1,1,1,4:3,1,1,4,2:1,3,2,7:3,4,1:7,2,1:2,2,2,2:3,1,4:2,2,2,1:3,1,1,1:1,1,1,2,1,6:2,1,7,1,2:2,1,1,1,2
20x20	1676	3,8:2,6:2,2,5:3,4,4:4,4,3:3,2,2:4,1:4,1:5:6:13:15:11,3,1:9,2,1:9,2,2:9,3,2:13,3:10,4:8,5:13-7:11:14:15:4,10:2,10:1,2,9:1,4,10:4,10:2,10:3,5:2,4:1,2,4:1,2,3,1:2,6,1:3,4,2:4,3:5,4:6,6:8,8
20x20	1678	4:5:2,3:6:2,2,3:4,4:4,5:1,2,2,2:4,2,1:1,2,4:1,1,3:3,2,1:4,4:2,1,4:1,2,2,2:1,6,6:1,2,6,2:2,4,4:3,6,4:6,8-5:6,3:3,5,2:3,5,2,1:7,6,1:2,3,2,1,1:6,4:2,2,4:4,1,1:4,1,1:2,4:4:2,1,1:5,1:3,2,1:10,2:7,3,2:3,4,2:6,2:3,1
20x20	2046	6,3:10,2:11,1:1,12:1,4,3,1:1,2,8:2,13:1,15:1,15:11,3:11,2:12,2,1:12,2,1:12,5:4,2,4,3:3,2,4:4,2,1,3:3,2,1,3:3,2,2,3:3,2,2,3-3:3,5,4:1,13:13:11:9,3:3,9,5:4,12:5,9:5,8,4:16,2:18:4,4,9:9,6:11,2:13:1,2,4,3:2,3,2:3,3:1,1
20x20	2064	3:4:5:2,6:4,5:6,1,5:4,4:10,4:6:2,6:11:13:14:7,3,3:5,2,2:4,2:3,3:3,2:2:1-1,1,3:1,1,4:1,1,5:1,1,6:1,1,7:4,6:1,2,5:4,4:2,8:1,6:5:11:12:14:6,3,2:5,2,2:3,2,2:3,2:2,2:1
20x20	Spider	1:1,1,1:1,5,1:1,7,2:1,2,6,1:1,1,2,4,1:1,1,1,3,1:1,1,4,4,1:1,4,2,1:2,5,6:8,5,1:13:4,5,2:3,1,2,4,3:2,1,5,1,1:1,1,5,1,2:1,7,1:1,2,2,1:1,1,1,1:1,1,1,1-2,1:1,1:2,1:4,1,1,4:2,2,1,1,2:3,3:9:2,5,4:2,3,5,3:4,1,4,4,1:4,6:4,1,9,1:6,10:9,4:9:1,8:3,2,1,1,3:5,1,2:1,1:1,1
20x20	2104	2,2:2,2:2,2:4:2:16:1,1:1,1,1,1:1,3,3,1:1,3,3,1:1,1,1,1:1,5,5,1:2,3,2,3,2:1,3,3,1:16:20:1,1,1,1:1,1,1,1:1,1:1,1-5:1:11:1,1,4:1,1,2:1,2,5:1,9:1,2,5:1,1,1,2:2,1,1,2:2,1,1,2:2,1,1,2:3,2,5:3,9:2,1,2,5:2,1,1,2:2,1,1,4:1,11:1:5
20x20	2144	12:4,4:3,4:4,3,6:3,1,2,3:3,3,2,3:2,2,2,2:1,2,1:1,2,1:1,2,13,1:1,2,13,1:1,2,1:1,2,1:2,2,2:5,3:4,4:3,3:3,3:3,3:10-13:4,3:4,2,3:3,2,4:3,2,2,3:2,2,2,2,3:2,3,4,2:1,1,3,1:1,1,2,1:1,3,1:1,4,1:1,2,2,1:1,2,2,1:2,2,2,2:5,2,3:4,2,3:3,2,3:4,2,3:4,3:13
20x20	2282	2:1,1,1,1:2,2,1:2,2,3:1,1,3,3,1,1:1,3,3,3:4,4,1,3:4,4,3,1:2,1,1,2,5:1,1,1,3,2,2,1:2,1,1,3,3:4,1,3,4,2:3,2,1,6:7,10:9,10:2:19:3,3,1,1,1,1,2:16:14-1,1,2:1,3,3:1,5,4:7,1,2:3,1,2,4:4,1,1,2,4:6,3,4:15,1,2:1,6:13,2,2:6,1,1,2,4:4,1,1,2,1,2:1,3,3,4:1,7,1,2:1,6,4:6,5,1,2:1,1,3,4,3:8,3,2:1,1,2,2,1:6,1
20x20	Flower	1,1:2,1:2,2,2,1,1:1,2,1,1,1,1:4,3,1,1,2:1,3,4,1:1,1,2:4,2,4,3:9,4,1:4,1,2,1:1,2,1,3:4,4,1:2,5,2,2,1:2,3,1,3,1:6,4,2:5,4,1,4:3,4,2,5:2,3,7:2,3,4:1,2-3,5:1,1,3,7:2,1,3,2,3,2:4,3,1,3:1,2,1,3:4,1,4:3,4,1,3:1,2,4,1,5:1,1,9:2,1,2,3,2:1,1,1,1,1,1:1,4,3,2:3,3,2,2:2,2,1,1:2,3,1,2,3:1,1,1,3,4:1,1,1,4:2,2,4:1,1,4:2
20x20	2358	2:4,3:3,1,2:3,1,3,2:3,1,4,1:3,1,4,2:3,1,8:3,1,4,3:4,4,4:3,6:1,3,8:2,3,5,1:4,3,3,2:1,9,5:13,4:12,3:13:13:7:1,1-4,1:6,3:8,2,2:2,2,6:1,1,4:1,1,4:5:6:10:14:1,4,6:1,4,7:1,5,3,5:1,5,5,5:7,3,2,3:5,1,4,5,1:1,6,5:6,6:10,1:1,1
29x14	268	3:1,24:1,1:3,6:4,11:1,24:1,16,2,2:8,3,2:16:15:12:1,1:1,1,1:17-1:6:2:2:3:1,2:1,2:1,2:1,2:1,2:1,2:1,2:1,3,1:1,4,1:1,6,1:1,6,1:1,7,1:2,11:11,1:2,8,1:1,3,3,1:1,3,3,1:1,8,1:1,10:1,2,4,1:1,1,3,1:1,2,3,1:1,5,1:1,3,2
29x14	2442	7,7:23:25:4,11,4:2,1,5,1,2:2,1,3,1,2:2,1,1,1,2:2,1,9,1,2:2,1,7,1,2:2,1,7,1,2:2,2,2,1,2,2,2:5,5,5:5:3-5:8:3,2:3,1:3,1:2,1:3,1,2:3,3:3:4:8:4,4:5,6:5,3,3:13:5,3,3:5,6:4,4:8:4:3:3,3:3,1,2:2,1:3,1:3,1:3,2:8:5
23x18	1508	9:3,3:2,3:2,2:2,2:3,2:4,1:6,2:8,1:8,1:8,5:15:7,8:5,9:9:9:7:5-5:7:8:8:8:9:1,6:2,4,3:1,6:1,8:1,8:1,8:2,11:1,3,8:2,2,6:1,2,4:1,2:1,1:3:2:2:1:1
23x18	2176	7:3,2,3:3,2,4:6,3,5:2,6,2,3,1:1,1,5,1,2,1:3,1,2,6:5,1,1,3:1,1,1,2,1,2,3:1,4,4:1,2,1,4:1,3,7:4,5,1,2:4,1,2,2:4,1,1,2,4:5,2,2,6:5,8:15-1:3,2:2,1,3,3:1,2,1,4:3,2,1,4:4,1,1,1,2:4,2,1,1:1,3,1,2,1,1:2,3,2,3,1:1,1,2,4,1,1:1,1,1,2,1,1,1:2,1,2,2,4,1:2,1,4,2,2:1,2,2,2:2,2,1,2,1,2:3,3,5,2:4,1,3,3:10,1,3:12,2:1,4,3:3,1,2:4:2
30x14	714	3,3:1,1,1,3,2:4,3,3,2:4,3,3,2:4,1,1,2:4,1,3,4:26:27:5,14:5,6,3:6,7,2:21:24:11,9-4,2:5,2:6,3:7,3:4,3:8:8:3,8:3,9:1,2,2,5:1,2,4:1,2,2:1,3,2:7,2:3,3,3:1,2,2,3:1,7:1,8:1,9:13:12:5,3:3,3:3,2:3,1:3,1:3:3:4:3
24x18	742	2,4,4:11,2:1,4,1,4:1,4,6:1,2,1,6:6,3,1,9:1,1,3,3,2,1,6:1,8,1,1,5:1,7,2,1,4:2,3,1,2,1,4:2,1,3,2,2,4:1,2,1,2,4,3:7,2,4,3:1,4,5,3:4,5,2:4,2,1:3,3,2:2,3,4-5:3,2,3:2,1,2,1,1,1:2,1,3,2:12,1:10,2,1:4,3,1,1,1:2,1,1,4,3:2,4,4:1,3,1:3,2,2,2:2,1,3,4:1,4,4,4:4,4,4:5,5:6,4,1:4,4,2:2,4,2:3,2:4,3:10,1:9,1:8,2:5,3
30x15	Tractor	2:1:1:7:1,1,2:1,1,2,1,1,1,1:1,7,11:8,2,1,1,1,1:7,4,1,11:2,2,6,2,1,1,1:2,2,1,2,2,5,2,4:4,2,2,4:4,6,4:2,4,2:4,4,8,6-1:1,1:2,4,1:1,1,6,2,1:2,4:2,4:3,2,1:1,4,1:6,1:1,2,4,1:1,1,6:1,1,2,2:4,2,2:4,6:2,4,1:2,1:2,1:6,1:1,1,1,1:1,1,1,1:6,1:1,1,2,1:1,1,4:1,1,4:1,1,2,1:6,1:1,1,1,1:6,1:1,1:1
26x17	2210	1,1:1,22,1:1,6,2,1,5,1:2,4,3,1,6,2:3,4,2,4,3,3:1,2,3,2,1,3,2,1:1,2,12,2,1:1,2,10,2,1:1,2,8,2,1:1,2,1,6,1,2,1:1,2,3,4,3,2,1:1,2,2,2,2,2,2,1:3,2,6,2,3:2,2,4,2,2:1,2,2,1:1,22,1:1,1-1,1:1,13,1:1,2,2,1:2,2,2,2:3,2,2,3:4,2,2,2,1:5,3,2,1:6,1,2,1:2,4,2,1:1,3,2,1:9,2,1:10,2,1:1,1,5,2,1:1,1,5,2,1:10,2,1:1,1,4,2,1:1,2,3,2,1:1,1,3,2,1:6,1,2,1:5,3,2,1:4,2,2,2,1:3,2,2,3:2,2,2,2:1,2,2,1:1,13,1:1,1
30x15	786	22,7:21,8:2,1,10,1:1,1,10,1,3,1:3,2,1,2:7,1,9,8:3,3,7,2,1,3:2,2,1,3,5,4,4,2:1,2,3,3,1,4,1,4,1:1,2,1,5,2,2,1:1,2,2,3,6,2,2,1:1,6,4,7,6,1:2,4,6,6,4,2:3,16,3:30-4,10:3,3,3:2,2,4,2:2,1,6,1:2,1,1,2,1:6,1,2,1:2,2,2,3,1:2,1,1,1,2,2:2,3,3:2,1,3,5:3,2,2,5:4,2,1,5:4,3,4:4,3,1,3:4,3,1,2:4,4,2,2:4,3,6:4,2,7:4,1,8:4,9:2,1,9:1,1,3:6,4,2:2,1,1,4,1:2,1,1,2,2,1:2,1,1,2,2,1:2,1,1,6,1:2,2,4,2:2,4,3:2,12
30x15	2462	12:12:11,2:11,1,2:1,2,2,11:1,4,2,3,11:1,6,2,4,2,1:1,2,2,2,5,2,6,1:1,2,2,2,2,2,2,6,1:1,2,2,2,2,2,2,1:1,3,2,2,2,4,1:1,3,2,2,2,4,1:1,3,2,2,2,2,2,1:1,6,2,6,2,6,1:1,6,2,6,2,6,1-13:2:2,3,2:2,4,3:2,2,4:2,2,5:2,7,2:2,5,2:2:15:15:2:2,2,2:2,3,2:2,3,2:2,11:2,12:2,2:2:15:15:2:2,3,3:2,3,3:2,2,2,2:2,2,2,2:2,8:2,8:2:11
24x19	1374	12:15:17:2,6:1,6:4:7,3:11,2:5,7,2:5,10,2:5,12,1:2,12,1:12,1:1,1,4,1:1,1,3,2,1:1,1,4,1,1:1,2,6,1:1,1,1,1,1:4,2,1-1:1,3:1,5:2,3,1:1,4,1:2,3,6:3,3,3,1:3,2,4,1:3,2,4,1:3,7,1:3,7,1:3,7,2:3,11:3,6:3,5:4,4,3:5,3,5:5,1,4,1:5,1,2,1:6,2,2:5,3:6:8:3
24x19	Carp	4,2:7,2:10,4:11,4:18:3,3,1,1,5:2,2,1,1,1,5:1,1,1,1,1,7:2,1,1,1,1,2,3:1,1,1,1,4:2,1,1,1,3:3,1,1,1,1,3:1,2,1,1,3:1,1,1,1,5:1,1,2,1,6:1,2,3,3:5,5:4:2-2:2,1:2,1,1:4,1:3,2,1:5,3,1:5,2,2,2:7,1,1,2:5,1,1,2,2:6,2,4:6,1,2,1,4:6,1,1,4:4,2,1,2:4,1,4:3,1,1,4:3,1,1,5:1,1,4,2:1,5:4,1,2:8:8:7:5:3
24x19	Camel	1:5:6,4:3,7:3,9:3,12:18:19:18:16:6,4:3,5:2,2,2:3,1,2:1,1,1,1:1,1,1,1:1,1,1,1:1,1,1,1:1,1,2-1:2:2:4:8:8:5:4:4,1:7,5:10,1:15:8:9:9:8:8:7:9,1:12:7:7:2,3,1:6
25x19	382	10:16:1,15:1,18:1,4,2,2,1,1,2:5,6,3,1:1,1,8,1:3,1,7,2:1,6,1:2,2,1,4,2:3,7,3,1:3,2,2,5,2:2,5,1,3,1:2,3,2,5,2:2,9,7:2,5,1,6:3,11:3,11,6:6,8-2:4,2:1,1,1,4,2:1,2,1,7,1:1,3,1,2,2,1:6,2,1,1:5,1,4,1:4,3,5,1:7,8:8,2,1,4:4,13:4,4,2,2,2:11,4:9,1,1,2:4,5,1,4:5,3,1,1,3:3,1,3,5:3,1,8,1:3,1,7,1:3,5,2:1,1,2:2,1,2:2,1,1,1,2,2:8,2:2
24x20	1026	4:1,5,3:8,8:14:2,2,3:1,2,2,2:3,2,3,2:3,4,2:5,3,2,5:3,2,1,3,4:5,5,3,6:6,4,3,3:3,2,2,4,2:3,2,7,1:3,2,2:10:4,3:6,4:5:1-2:1,1,1:3,5:3,6:4,5:11:4,3,2:2,5,2:3,3,2:3,1,1,2,2,2:2,2,4,5:2,1,2,4,4:3,3,2,1,4:4,3,2,1,2:4,2,2,2,1,3:4,3,2,1:2,2,3,2,1:1,2,1,1,1:2,3,3:10:3,2:4,1:4,1:2
30x16	1144	2:25:1,25:17:15:14:16:17:8,1,7:6,1,7:5,11:5,11:5,2:5:5:5-8:9:2,10:2,10:13:9:8:10:7,2:8,2:7,2:11:11:11:11:11:11:12:3,2:2:2:2:2:2:2:2:2:3:3:2
25x20	Hippopotamus	9:2,6:2,2:2,2:1,2,2,2:2,4:1,1,1:2,1,1:2,2,1:2,1,2,1,2:4,2,1,1,1:1,2,2,1,2,1:1,1,1,2,2,1:1,1,3,4,1:2,5,1,3,1:2,3,1,3,2,1:1,1,2,8:1,1,2,1:12,7:6-3:4:7,1:3,6,1:2,5:2,1:2,3,1,1:1,9:1,2,1:1,2,1:1,2,1:1,4,1:1,7:2,4:2,1:1,2,1:1,2,7:1,1,10,2:2,1,1,3,1,2:2,1,1,1,1,1:3,2,1:2,2,1:1,1,1:1,1,1,1,1:1,6,2
25x20	32	4:2,6:6,5,1:7,14:20:10,4:10,2:12,1:14,2:11,1:1,2:5,3:1,4:3,2,1:7,1,2:11,2:11,1:11:9:7-1,3:2,3:3,1,4:4,1,3:3,2,3:3,3,3:3,3,4:7,3:6,3,3:8,5:6,1,4:7,1,3:7,2,3:7,3,3:7,1,2,3:6,2,5:3,2,1,3:4,2,2:6,3,2:9,1:7:2,3:4:1:1
25x20	244	6:5:4,2,2:3,2,2:2,5,2,2:1,6,2,2:1,2,4,2,1,7:1,2,4,2,1,7:1,2,2,2,1,7:1,2,2,5,2,2:1,6,2,1,2,2:1,4,2,1,2,2:1,2,2,2,1,2,2:1,2,2,6:1,2,2,5,1:1,2,2,2:1,2,2,3:1,4:1,5:25-20:5,1:4,11,1:3,11,1:2,2,1:1,2,1:5,5,1:5,5,1:2,1:2,1:1:11,1:11,1:2,1,2,1:2,1,2,1:2,1,2,1:4,4,1:1:11,1:11,1:3,2:3,3:3,4:11,5:11,6
25x20	388	20,1:17,2:14,3,1:11,3,1:8,4,1:5,4,2:2,5,2:5,2:2,6,2:5,6,3:7,5,3:7,3,3:8,2,2,3:8,2,2,4:8,1,2,4:9,1,5,4:9,1,7,4:9,12:10,13:10,14-7,12:7,12:6,11:6,11:6,11:5,10:5,10:5,8:4,2,5:4,6,2:4,9:3,5,1:3,5,1,2:3,4,1,4:2,4,1,5:2,4,7:2,3,6:1,3,5:1,2,5:1,2,4:1,3:2,7:1,11:1,15:18
25x20	898	2:1,2:1,7,1:11,2:1,4,14:5,13:5,11,3:6,12,1,1:1,20:9,6:6,4:1,4,4:1,4,1:6,1:6:21:2,2:25:25:25-5,3:3,4:7,5:9,1,3:13,3:3,4,3,3:4,8,3:4,8,3:3,9,3:14,3:8,1,3:7,1,3:6,1,3:5,1,3:5,1,3:5,1,3:6,1,3:6,1,3:8,1,3:9,1,3:4,6,1,3:8,1,3:1,5:2,4:3
25x20	Accordion	3,1:1,2,2,2,2,2,1:6,1,2,2,2,2,3:1,1,1,2,2,2,1,1:3,2,1,2,1,1,2,1:3,1,1,1,2,2,2,1:1,2,1,1,1,1,2,1:3,1,1,1,1,2,2,1:1,2,1,2,1,3,1:3,1,2,2,2,2,1:3,3,1,3,3,2:1,1,3,1,6,1,1:3,5,1,1,4,2:3,1,4,1,3,1:1,2,1,1,1,2,2:3,1,3,1,2,1:1,2,7,2:6,7,1:2,1,3,1:2,2-16:1,2,1,2,2,1,1:1,2,1,2,2,1,1:1,1:3,1:1,2,1,1,1,1,1,1,1:2,1,1,1,1,1,1:1,1,1,1,3,1,1,1:1,1,5,1:1,17:2,2,3:16:1,2,2,2:2,3,7:4,3,2:1,1,12:2,3,2,3,1:4,1,3,1:1,1,5,1:2,5,1,1:6,3,3:1,2,3:1,3:1,3:9
25x20	1072	8:12:14:15:8,3,3:8,1,3,5:14,2,3:13,9:1,7,10:2,11,7:1,14,2:1,2,12,1:1,1,1,10:1,1,2,11:2,4,1,10:4,1,1,10:1,1,1,2,11:1,1,2,1,11:1,6,13:1,2,17-6:7:5,5:5,5,2:10,1,2:10,7:14,2:12,4:17,1:14,2:5,14:4,2,11:4,3,11:4,2,11:8,11:6,1,10:5,2,10:2,3,10:6,7:2,3,6:2,3,4:5,2:5:5:5
25x20	1252	11,1:12,6:2,8,2,2,2:2,1,7,2,2,2:1,4,1,3,2:5,4,4,2,2:5,11,5:4,2,8:3,1,9:1,3,8:3,3,7:10,6:4,1,6:4,2,7:4,2,7:5,2,8:5,3,9:6,12:7,10:8,3,4-4,11:4,2,10:2,4,10:2,1,4,9:3,6,1,5:7,1,4,3:6,3,1,4,2:5,2,2,3,1:4,2,2,3:4,2,2,3:4,2,3:4,3,4:3,4:7,5:2,6,7:2,15:2,15:2,13:4,11:1,2,9:2,3,7:2,2:2,1:3:2
25x20	1652	10:3,7:2,5:2,5:1,4:3,1,4:3,3,3:6,3:3,2,2:1,6:1,16:1,6:2,8:9,3:7,3:7:9:10:11:13-1:2:4:1,4,4:4,7:2,6:6,6:2,2,6:2,1,7:1,3,2,7:2,7,1,4:1,8,1,4:1,3,2,1,3:1,3,1,1,3:1,2,1,1,2:1,2,3,2:3,3,2:3,3,1:2,3,1:2,4,1:1,2,1,1:1,1,1:1,1,1:1,1:1,1
25x20	1962	8:2,2:1,1:1,1:2,2:1,1:2,2:1,1,1,1:2,2,1,1:1,1,5:3,3,3:1,3,3,1,3:1,1,8,1,1,1:1,1,4,1,1,1:1,4,1,1:2,1:2,1:4,2:6,1,2:11,6-5:3,1:3,4:4,1,1:2,4,1:1,1,2:1,3,3:1,8:1,8:1,3,3:1,1,2:2,4,1:4,1,2:3,4,1:3,1:5,1:1:1:1:1:1,2:5,2:9:5:1
25x20	1984	12:4,4,5,3:5,4,11:13,10:5,14:4,4,9:15:1,10:1,6:5,7:3,1,5:3,1,5:3,4:3,4:3,4:3,4:3,5:3,6:3,1:9-1:1:1:3:5:5:5:5:1,1:6,10:18:6,10:7,1:1,1,1:8:8,1:8,1:8,1:8,3,1:1,8,1,1:1,10,2,1:1,16,1:18,1:4,14:2,10
25x20	Black Swan	4:6:4,2:3,3,1,1:2,1,2,2,2:2,1,3,1,1,1,1,1:3,2,2,3,2:2,3,2,4,2:1,3,6,2:1,4,9:3,8,1:2,8,1,2:1,2,3,4:3,2,2,6,2:3,3,10,2:2,11,4:4,6,4:4,4,2:3,5,7,3:4,4,2,3-2,1:4,2:2,1,2:3,1,1,1:8,2,1:3,2,3,2:6,3,2,2:3,3,2,2:2,6,2,2:4,5,3,2,2:7,2,4,1:3,4,3,1:6,3,1:8,3,1:1,4,3,1:2,5,3,2:2,5,3,2:6,4,2:2,1,4,2:2,2,3,2,1:2,3,3,2,1:3,2,2,2:1,2,1:3,2:2,1
